iter	Logloss
0	0.6339867519
1	0.5875088119
2	0.550676531
3	0.520025967
4	0.4918369721
5	0.4704062665
6	0.4547974748
7	0.4413793582
8	0.4296530811
9	0.4202854617
10	0.4126770104
11	0.4055812748
12	0.3989940721
13	0.3939024882
14	0.3896709053
15	0.3861546987
16	0.3830656223
17	0.380160125
18	0.3773199861
19	0.3749478874
20	0.3729904417
21	0.3711407471
22	0.3696530151
23	0.3675537463
24	0.3658541625
25	0.3647866249
26	0.3637650781
27	0.3629394122
28	0.3619757731
29	0.3608654669
30	0.3596920483
31	0.3585969915
32	0.3575847578
33	0.3569332532
34	0.3560833965
35	0.3553420855
36	0.3548167816
37	0.3542551581
38	0.3534224802
39	0.352832736
40	0.3524347341
41	0.3519575252
42	0.3516473447
43	0.3511234906
44	0.3507124679
45	0.3503754761
46	0.3497856276
47	0.3492728516
48	0.3486585498
49	0.3483291433
50	0.3480101857
51	0.347518025
52	0.3469529797
53	0.3465824271
54	0.3461857097
55	0.3457992989
56	0.3453714888
57	0.3450043337
58	0.3447565862
59	0.3445402526
60	0.3442274261
61	0.344035373
62	0.3437363189
63	0.3434083395
64	0.3432082596
65	0.3429407909
66	0.3425289913
67	0.3422761046
68	0.3418770736
69	0.3416516002
70	0.3414130607
71	0.3411574034
72	0.3409513698
73	0.340762478
74	0.3404671267
75	0.3401859726
76	0.3399828602
77	0.3396865702
78	0.3394863172
79	0.3392487485
80	0.3390324851
81	0.3388720322
82	0.338644728
83	0.3385312098
84	0.3383182211
85	0.338061874
86	0.3378758354
87	0.3376093784
88	0.3373081858
89	0.3371158171
90	0.3369529324
91	0.3368064206
92	0.3366000298
93	0.3363590643
94	0.3361988072
95	0.3360311045
96	0.3358782067
97	0.3355568689
98	0.335390114
99	0.335109636
100	0.335006
101	0.3348181071
102	0.3346568032
103	0.3345456664
104	0.3342978796
105	0.3342071182
106	0.3341660023
107	0.3339897089
108	0.3338642547
109	0.3337652109
110	0.3335709268
111	0.3333862532
112	0.3332274005
113	0.3331273346
114	0.3329915351
115	0.3328867631
116	0.3327089325
117	0.3325982068
118	0.3324497485
119	0.3322587665
120	0.3321393569
121	0.3320207859
122	0.3318904936
123	0.3318741737
124	0.3317524522
125	0.3316578271
126	0.3315085143
127	0.3314191247
128	0.3312652798
129	0.331137002
130	0.3310088841
131	0.3307826479
132	0.3306752266
133	0.3304883788
134	0.33033225
135	0.3302107461
136	0.3301154357
137	0.3300021061
138	0.3298979802
139	0.329798612
140	0.3295876743
141	0.3294846978
142	0.3293399973
143	0.3292236423
144	0.3289047395
145	0.3288087957
146	0.3286273346
147	0.328487855
148	0.32834902
149	0.3281842563
150	0.3280632052
151	0.327908459
152	0.327770627
153	0.3276184496
154	0.327458394
155	0.3273504494
156	0.3272170185
157	0.3271234349
158	0.3269676309
159	0.3268515191
160	0.3267494465
161	0.3266232424
162	0.3264793601
163	0.3263472794
164	0.3262261683
165	0.3260970681
166	0.3259917169
167	0.3257921832
168	0.325596416
169	0.3254713755
170	0.3253351623
171	0.3252533913
172	0.3251253315
173	0.3250131757
174	0.3249119662
175	0.3246478823
176	0.3245161775
177	0.3243770323
178	0.3242669471
179	0.3241567461
180	0.3240191881
181	0.3239133473
182	0.3237779814
183	0.3236709711
184	0.3235708153
185	0.3234339817
186	0.3232708522
187	0.3231615448
188	0.3230687101
189	0.322968733
190	0.3228900624
191	0.3227530981
192	0.3226785242
193	0.3225509545
194	0.3224525642
195	0.3223846834
196	0.3222767019
197	0.3221431924
198	0.3220040234
199	0.321882335
200	0.3217783148
201	0.3216819279
202	0.3215903465
203	0.3214740016
204	0.3213678709
205	0.3212955389
206	0.3212175689
207	0.3211126768
208	0.3210426037
209	0.3209771294
210	0.3208636166
211	0.3207714772
212	0.3207021883
213	0.3206233337
214	0.3205234988
215	0.3204120087
216	0.3203049322
217	0.3202052515
218	0.3201032047
219	0.3200023769
220	0.3198926052
221	0.3198329544
222	0.3197033149
223	0.3195876894
224	0.319436943
225	0.3193718867
226	0.3192522191
227	0.3190996183
228	0.3189514457
229	0.318862238
230	0.3187566605
231	0.3186681771
232	0.3185674236
233	0.3185143727
234	0.3183956938
235	0.3183016928
236	0.3182240981
237	0.3181239015
238	0.3180743419
239	0.3179471065
240	0.3178662617
241	0.3177452623
242	0.3176399311
243	0.3175637524
244	0.3174908885
245	0.3173949411
246	0.3172648857
247	0.3171579289
248	0.3170599447
249	0.3169515907
250	0.3168635276
251	0.3167752237
252	0.3167147167
253	0.3166266158
254	0.3165673995
255	0.3164708245
256	0.316416467
257	0.3163256665
258	0.3162549418
259	0.31614989
260	0.3160563723
261	0.3159790446
262	0.3159096479
263	0.3158014804
264	0.3157120435
265	0.3156345635
266	0.3155262205
267	0.3154230195
268	0.3153391263
269	0.3152752721
270	0.315185894
271	0.3151142896
272	0.315031144
273	0.3149564186
274	0.3148948215
275	0.3148303613
276	0.3147411979
277	0.3146818198
278	0.3145952113
279	0.3145216326
280	0.3144821207
281	0.3144021517
282	0.3143083223
283	0.3141903936
284	0.3141130447
285	0.3140913291
286	0.3140214627
287	0.3139410045
288	0.3138947256
289	0.3138264731
290	0.3137176138
291	0.3136337312
292	0.3136037376
293	0.3135479243
294	0.3133982444
295	0.313295113
296	0.3132294311
297	0.3131581867
298	0.3130519831
299	0.3129941108
300	0.3129624222
301	0.3128899262
302	0.3127777186
303	0.3126815461
304	0.3126171428
305	0.3125561918
306	0.3125063875
307	0.3124370194
308	0.3124064359
309	0.3123218022
310	0.312254272
311	0.3121858847
312	0.3121219894
313	0.3120520142
314	0.3119507342
315	0.3118632657
316	0.3117981807
317	0.3117260107
318	0.3116494549
319	0.3116095006
320	0.3115246327
321	0.3114651414
322	0.3114269189
323	0.3113402633
324	0.311261941
325	0.3111963118
326	0.3111551028
327	0.3111168782
328	0.3110479313
329	0.3110058791
330	0.3109418693
331	0.3108680226
332	0.3107664833
333	0.3107001164
334	0.3105828345
335	0.3104982816
336	0.3104449375
337	0.3104211777
338	0.3103652973
339	0.3103000918
340	0.310226624
341	0.3101528078
342	0.3100937947
343	0.3100373308
344	0.3099699939
345	0.3098948748
346	0.3098797886
347	0.3098367055
348	0.3097582002
349	0.3096284234
350	0.3095831516
351	0.3095251961
352	0.3094528067
353	0.3093807611
354	0.3093062414
355	0.3092233178
356	0.3091562437
357	0.3091433934
358	0.3091083747
359	0.3090198122
360	0.3089870316
361	0.308956371
362	0.3088559779
363	0.3087897608
364	0.3087254996
365	0.3086816151
366	0.3086259465
367	0.3085439234
368	0.3084989532
369	0.3084359324
370	0.3083885135
371	0.3083498748
372	0.3082837333
373	0.3081700213
374	0.3080935487
375	0.3080570761
376	0.3079929199
377	0.3079212171
378	0.3078533522
379	0.3077750819
380	0.3077618199
381	0.3076953043
382	0.3076188481
383	0.3075700904
384	0.3075235213
385	0.3074492922
386	0.3073928983
387	0.3073445754
388	0.3072843376
389	0.3072308216
390	0.3071699234
391	0.3070945002
392	0.3070319318
393	0.3070164615
394	0.3069467054
395	0.3069029017
396	0.3068422906
397	0.3067629876
398	0.3067033598
399	0.3066090366
400	0.306517743
401	0.3064577324
402	0.3064104468
403	0.3063291933
404	0.3062447588
405	0.3062025537
406	0.3061353837
407	0.3060784685
408	0.3060184296
409	0.3059971322
410	0.3059175009
411	0.3058555271
412	0.3057750291
413	0.305722341
414	0.3056480036
415	0.3056069253
416	0.3055822326
417	0.3055170641
418	0.3054600235
419	0.3053946754
420	0.3053186742
421	0.3052506826
422	0.3052245022
423	0.3051942751
424	0.3050994731
425	0.3050181918
426	0.304934232
427	0.304873916
428	0.3048472324
429	0.3047683559
430	0.3047359101
431	0.3047062078
432	0.3046804311
433	0.304602117
434	0.3045461782
435	0.3045215563
436	0.3044502393
437	0.3044199154
438	0.3043609467
439	0.3043311081
440	0.3042760512
441	0.3042073653
442	0.3041565205
443	0.3041162497
444	0.3040663948
445	0.3040207545
446	0.3039567757
447	0.3039248597
448	0.3038470568
449	0.3038120691
450	0.3037495654
451	0.3036257981
452	0.3035709626
453	0.3035116964
454	0.3034424552
455	0.3034003005
456	0.3033686616
457	0.3032906847
458	0.3032404168
459	0.3031784229
460	0.3031214962
461	0.3031013047
462	0.3030439102
463	0.3029863506
464	0.302940662
