iter	Passed	Remaining
0	187	187696
1	381	190261
2	540	179750
3	691	172293
4	842	167732
5	989	163861
6	1136	161211
7	1296	160767
8	1464	161234
9	1629	161309
10	1779	159948
11	1936	159464
12	2086	158408
13	2242	157961
14	2390	156996
15	2537	156076
16	2693	155726
17	2856	155850
18	3005	155185
19	3156	154662
20	3304	154038
21	3443	153070
22	3605	153154
23	3761	152971
24	3900	152119
25	4051	151768
26	4222	152149
27	4376	151924
28	4519	151311
29	4677	151231
30	4825	150841
31	4981	150691
32	5111	149786
33	5273	149840
34	5418	149399
35	5576	149316
36	5733	149228
37	5870	148626
38	6019	148330
39	6156	147755
40	6310	147609
41	6463	147426
42	6614	147209
43	6768	147056
44	6910	146662
45	7072	146683
46	7226	146537
47	7390	146587
48	7547	146477
49	7708	146463
50	7867	146405
51	8003	145901
52	8170	145997
53	8322	145791
54	8438	144984
55	8568	144437
56	8713	144160
57	8858	143879
58	9009	143687
59	9159	143501
60	9316	143417
61	9460	143132
62	9619	143068
63	9774	142957
64	9928	142821
65	10080	142649
66	10240	142607
67	10390	142413
68	10542	142253
69	10693	142068
70	10853	142014
71	11001	141792
72	11156	141673
73	11332	141813
74	11500	141837
75	11676	141964
76	11817	141661
77	11967	141461
78	12131	141426
79	12281	141231
80	12453	141295
81	12617	141255
82	12777	141163
83	12930	141001
84	13071	140715
85	13221	140520
86	13389	140510
87	13538	140304
88	13695	140190
89	13829	139833
90	13984	139691
91	14138	139538
92	14281	139284
93	14442	139198
94	14595	139038
95	14753	138930
96	14907	138782
97	15072	138724
98	15222	138537
99	15365	138293
100	15524	138183
101	15679	138044
102	15844	137983
103	16002	137868
104	16146	137629
105	16295	137438
106	16375	136666
107	16539	136607
108	16690	136434
109	16844	136284
110	16993	136097
111	17159	136049
112	17310	135881
113	17483	135877
114	17633	135701
115	17788	135563
116	17934	135348
117	18081	135152
118	18231	134976
119	18376	134759
120	18536	134661
121	18689	134501
122	18852	134422
123	18933	133753
124	19086	133608
125	19234	133420
126	19412	133439
127	19573	133347
128	19728	133206
129	19873	132997
130	20026	132845
131	20180	132702
132	20336	132568
133	20504	132516
134	20668	132428
135	20812	132217
136	20971	132103
137	21124	131953
138	21280	131816
139	21436	131679
140	21601	131600
141	21746	131399
142	21895	131219
143	22059	131130
144	22227	131067
145	22382	130924
146	22579	131024
147	22744	130935
148	22914	130874
149	23072	130744
150	23216	130533
151	23370	130381
152	23541	130326
153	23702	130209
154	23866	130111
155	24027	129994
156	24179	129827
157	24332	129669
158	24483	129502
159	24640	129360
160	24797	129221
161	24948	129052
162	25107	128924
163	25258	128754
164	25410	128590
165	25561	128422
166	25727	128327
167	25880	128171
168	26034	128013
169	26190	127870
170	26348	127734
171	26519	127664
172	26700	127639
173	26857	127493
174	27008	127326
175	27175	127230
176	27329	127073
177	27494	126968
178	27675	126937
179	27830	126785
180	27978	126597
181	28133	126448
182	28293	126316
183	28452	126181
184	28607	126028
185	28781	125957
186	28957	125894
187	29124	125790
188	29284	125658
189	29449	125546
190	29609	125413
191	29776	125307
192	29945	125211
193	30110	125097
194	30272	124971
195	30438	124860
196	30596	124717
197	30773	124649
198	30946	124565
199	31093	124372
200	31260	124263
201	31430	124166
202	31594	124043
203	31764	123943
204	31918	123779
205	32079	123647
206	32241	123515
207	32398	123362
208	32547	123182
209	32696	123000
210	32862	122882
211	33020	122737
212	33175	122578
213	33341	122461
214	33505	122332
